name,trial,deck,reward,penalty,gain,total,response_time,touch_speed,hh_mm_ss,YYYY_MM_DD
neko,87,B,100,-0,100,2000,567,25,11_24_51,2019_11_23
neko,88,D,50,-0,50,2050,650,40,11_24_52,2019_11_23
neko,89,B,100,-0,100,2150,416,25,11_24_52,2019_11_23
neko,90,D,50,-0,50,2200,433,40,11_24_53,2019_11_23
neko,91,A,100,-0,100,2300,1187,45,11_24_54,2019_11_23
neko,92,D,50,-0,50,2350,557,30,11_24_55,2019_11_23
neko,93,A,100,-250,-150,2200,410,43,11_24_55,2019_11_23
neko,94,B,100,-0,100,2300,1018,46,11_24_56,2019_11_23
neko,95,B,100,-0,100,2400,634,26,11_24_57,2019_11_23
neko,96,B,100,-0,100,2500,515,38,11_24_57,2019_11_23
neko,97,A,100,-350,-250,2250,373,30,11_24_58,2019_11_23
neko,98,B,100,-0,100,2350,753,46,11_24_58,2019_11_23
neko,99,B,100,-0,100,2450,434,58,11_24_59,2019_11_23
neko,100,D,50,-0,50,2500,383,43,11_24_59,2019_11_23
